price_level,address_verified,has_website,has_email,has_social,has_phone,socials_count,instagram_engagement_rate,reviews_count_30d,reviews_count_90d,beam_velocity_reviews_per_month,sentiment_avg,sentiment_positive_pct_360d,sentiment_negative_pct_360d,log_reviews_total_count,log_instagram_followers,log_instagram_post_count,log_reviews_count_360d,log_website_domain_age,review_recency_ratio,has_description,description_length,tag_dine_in,tag_takeout,tag_delivery,tag_drive_through,tag_curbside,tag_alcohol,tag_beer,tag_cocktails,tag_coffee,tag_late_night_food,tag_comfort_food,tag_vegan_options,tag_vegetarian_options,tag_breakfast,tag_brunch,tag_lunch,tag_dinner,tag_dessert,tag_seating,tag_catering,tag_casual,tag_cozy,tag_upscale,tag_lively,tag_quiet,tag_historic,tag_romantic,tag_trendy,tag_bar_onsite,tag_live_music,tag_outdoor_seating,tag_wifi,tag_restroom,tag_parking,tag_credit_cards,tag_debit_cards,tag_cash_only,tag_nfc_mobile_payments,tag_fast_service,tag_great_cocktails,tag_great_beer_selection,tag_groups,tag_tourists,tag_families,tag_locals,tag_kids_menu,tag_high_chairs,tag_good_for_kids,has_menu_link,has_order_links,has_reservation_link,sentiment_trend_num,category_count,cat_restaurant,cat_american_restaurant,cat_pizza_restaurant,cat_fast_food_restaurant,cat_bar,cat_italian_restaurant,cat_sandwich_shop,cat_takeout_restaurant,cat_caterer,cat_bar_&_grill,cat_breakfast_restaurant,cat_family_restaurant,cat_mexican_restaurant,cat_hamburger_restaurant,cat_seafood_restaurant,rating
2,1,1,1,1,1,5,0.53,,,,0.5943,80.7,14.05,6.824373670043086,8.36240897761537,7.187657164114956,0.0,6.131226489483141,0.0,1,99,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.0,8,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,4.25
2,1,1,1,1,1,4,2.8,,,,0.5943,80.7,14.05,7.068172000388042,6.96979066990159,6.054439346269371,0.0,8.694669696546992,0.0,1,99,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.04
2,1,1,1,1,1,5,0.6,,,,0.5943,80.7,14.05,7.095064377287131,7.951911381854188,5.25227342804663,0.0,8.45126704130007,0.0,1,95,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.68
2,1,1,1,1,1,5,4.41,1.0,15.0,6.0,0.8529,93.65,4.76,6.97166860472579,6.2324480165505225,5.318119993844216,4.1588830833596715,8.69265796074698,0.014084507042253521,1,100,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.65
2,1,1,1,1,1,1,1.01,0.0,1.0,1.0,0.4996,60.0,40.0,5.081404364984463,0.0,0.0,2.3978952727983707,5.707110264748875,0.00625,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.04
2,1,1,1,1,1,4,4.56,0.0,12.0,14.0,0.9391,85.71,8.16,6.013715156042802,5.786897381366708,2.639057329615259,3.912023005428146,3.367295829986474,0.029411764705882353,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91
2,1,1,1,1,1,7,6.96,1.0,3.0,3.0,0.7515,80.0,14.29,6.385194398997726,6.056784013228625,4.04305126783455,3.58351893845611,8.842893331055539,0.005067567567567568,1,97,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0.0,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4.44
4,1,1,1,1,1,3,0.61,0.0,7.0,12.0,0.662,84.06,14.49,6.97914527506881,8.202756381655638,7.089243155027514,4.9344739331306915,8.86953877719374,0.0065237651444548,1,93,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.35
3,1,1,1,1,1,2,1.01,3.0,10.0,12.0,0.8768,97.3,1.35,7.00850518208228,0.0,0.0,4.31748811353631,8.561018670956267,0.00904977375565611,1,97,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75
2,1,1,1,1,1,5,0.59,0.0,13.0,5.0,0.7021,82.54,10.32,6.97354301952014,9.54809749706027,8.93748122841604,4.844187086458591,8.391629968440892,0.01218369259606373,1,100,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48
